"Date,Open,High,Low,Close,AdjClose,Volume,return,volatility_20d,return_z"
"2018-05-02,24097.63,24185.52,23886.3,23924.98,23924.98,385350000.0,-0.0072231063050203215,,-0.5622539005101974"
"2018-05-03,23836.23,23996.15,23531.31,23930.15,23930.15,389240000.0,0.0002160921346643363,,-0.011235130119794273"
"2018-05-04,23865.22,24333.35,23778.87,24262.51,24262.51,329480000.0,0.0138887553985243,,1.0014941525707086"
"2018-05-07,24317.66,24479.45,24263.42,24357.32,24357.32,307670000.0,0.003907674844853215,,0.2621990822157182"
"2018-05-08,24341.35,24412.34,24198.34,24360.21,24360.21,344940000.0,0.00011865016348266977,,-0.018452622109054205"
"2018-05-09,24399.18,24586.48,24323.87,24542.54,24542.54,361580000.0,0.0074847466421676945,,0.5271515121495491"
"2018-05-10,24591.66,24794.99,24575.91,24739.53,24739.53,304210000.0,0.008026471587700312,,0.5672768853059943"
"2018-05-11,24758.64,24868.65,24717.5,24831.17,24831.17,274150000.0,0.0037041932486185924,,0.24712727308690688"
"2018-05-14,24879.37,24994.19,24862.52,24899.41,24899.41,282860000.0,0.0027481588664570733,,0.17631414799275769"
"2018-05-15,24809.55,24809.55,24629.39,24706.41,24706.41,301900000.0,-0.007751187678744165,,-0.6013686991776357"
"2018-05-16,24722.32,24801.19,24672.79,24768.93,24768.93,280810000.0,0.0025305173839502704,,0.1601935211471151"
"2018-05-17,24752.4,24839.49,24639.4,24713.98,24713.98,314650000.0,-0.0022185051998613314,,-0.19156488480273992"
"2018-05-18,24707.72,24774.97,24664.87,24715.09,24715.09,269700000.0,4.4913850379524334e-05,,-0.02391424447450615"
"2018-05-21,24883.06,25086.49,24883.06,25013.29,25013.29,308920000.0,0.012065503301829095,,0.8664465212192721"
"2018-05-22,25047.55,25064.99,24812.06,24834.41,24834.41,288200000.0,-0.0071513983166549,,-0.556942515433345"
"2018-05-23,24757.71,24889.46,24667.12,24886.81,24886.81,399610000.0,0.002109975634613459,,0.12904414403395106"
"2018-05-24,24877.36,24877.36,24605.9,24811.76,24811.76,347050000.0,-0.0030156536735725936,,-0.2506093874281579"
"2018-05-25,24781.29,24824.22,24687.81,24753.09,24753.09,257210000.0,-0.0023646045262407656,,-0.20238640970615066"
"2018-05-29,24606.59,24635.18,24247.84,24361.45,24361.45,395810000.0,-0.015821863048209317,,-1.1991607401292024"
"2018-05-30,24467.83,24714.48,24459.09,24667.78,24667.78,324870000.0,0.012574374678026023,0.007502047925638828,0.9041384422336536"
